stage	Btr_like_gene	transcript	bitscore	transcript_length	TPM_r1	TPM_r2	TPM_r3	TPM_mu
M-LepZyg	HORVU.MOREX.r2.3HG0195460.1(Btr1-like-a)	TRINITY_DN1356_c0_g1_i41	1064	1047	40.578427	26.083208	23.018375	29.8933366666667
M-LepZyg	HORVU.MOREX.r2.3HG0195460.1(Btr1-like-a)	TRINITY_DN1356_c0_g1_i34	1064	1502	12.610909	7.8284	7.792237	9.41051533333333
M-LepZyg	HORVU.MOREX.r2.3HG0195460.1(Btr1-like-a)	TRINITY_DN1356_c0_g1_i29	1064	1740	15.968561	11.643095	11.385532	12.9990626666667
M-LepZyg	HORVU.MOREX.r2.3HG0195170.1(Btr1-like-b1)	TRINITY_DN1356_c0_g1_i41	1064	1047	40.578427	26.083208	23.018375	29.8933366666667
M-LepZyg	HORVU.MOREX.r2.3HG0195170.1(Btr1-like-b1)	TRINITY_DN1356_c0_g1_i34	1064	1502	12.610909	7.8284	7.792237	9.41051533333333
M-LepZyg	HORVU.MOREX.r2.3HG0195170.1(Btr1-like-b1)	TRINITY_DN1356_c0_g1_i29	1064	1740	15.968561	11.643095	11.385532	12.9990626666667
M-LepZyg	HORVU.MOREX.r2.3HG0195480.1(Btr2-like-a)	TRINITY_DN5194_c0_g1_i22	1048	1354	14.809166	5.881293	6.237643	8.976034
M-LepZyg	HORVU.MOREX.r2.3HG0195160.1(Btr2-like-b1)	TRINITY_DN5194_c0_g1_i1	813	2846	19.814161	24.842955	19.194664	21.2839266666667
M-LepZyg	HORVU.MOREX.r2.3HG0195470.1(Btr2-like-b2)	TRINITY_DN5194_c0_g1_i1	887	2846	19.814161	24.842955	19.194664	21.2839266666667
M-PachDipl	HORVU.MOREX.r2.3HG0195460.1(Btr1-like-a)	TRINITY_DN2578_c0_g1_i5	1053	1579	25.463253	44.064575	28.417065	32.6482976666667
M-PachDipl	HORVU.MOREX.r2.3HG0195460.1(Btr1-like-a)	TRINITY_DN2578_c0_g1_i4	1053	1634	24.728952	42.899467	27.758509	31.7956426666667
M-PachDipl	HORVU.MOREX.r2.3HG0195170.1(Btr1-like-b1)	TRINITY_DN2578_c0_g1_i5	1053	1579	25.463253	44.064575	28.417065	32.6482976666667
M-PachDipl	HORVU.MOREX.r2.3HG0195170.1(Btr1-like-b1)	TRINITY_DN2578_c0_g1_i4	1053	1634	24.728952	42.899467	27.758509	31.7956426666667
M-PachDipl	HORVU.MOREX.r2.3HG0195480.1(Btr2-like-a)	TRINITY_DN7461_c0_g1_i5	1048	1228	17.193653	31.159971	18.141209	22.1649443333333
M-PachDipl	HORVU.MOREX.r2.3HG0195480.1(Btr2-like-a)	TRINITY_DN7461_c0_g1_i2	1048	1322	16.543274	34.233207	17.535711	22.7707306666667
M-PachDipl	HORVU.MOREX.r2.3HG0195160.1(Btr2-like-b1)	TRINITY_DN7461_c0_g1_i8	813	1191	22.689207	25.909622	16.292307	21.6303786666667
M-PachDipl	HORVU.MOREX.r2.3HG0195470.1(Btr2-like-b2)	TRINITY_DN7461_c0_g1_i6	965	1183	8.899296	9.593511	6.288473	8.26042666666667
M-PachDipl	HORVU.MOREX.r2.3HG0195470.1(Btr2-like-b2)	TRINITY_DN7461_c0_g1_i8	887	1191	22.689207	25.909622	16.292307	21.6303786666667
